concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
principal genus theorem,noether_corpus,,Hauptgeschlechtssatz,principal genus theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,principal genus theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Hauptgeschlechtssatz; uk:теорема про головний рід; ru:теорема о главном роде; isv:teorem o glavnom rodu,{},{},{},,,teorem o glavnom rodu,,теорема про головний рід,теорема о главном роде,,,,
reducent,noether_corpus,,Reduzent; Reduzenten; Reduzenten oder zerfallenden Formen; direkte Faltung mit den Reduzenten,reducent,редуцент; редуценти,редуцент; редуценты,,редуцент; редуценты,,,,,,,,,,,,,,,,,,,,,,,reducent,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Reduzent; Reduzenten; Reduzenten oder zerfallenden Formen; direkte Faltung mit den Reduzenten; uk:редуцент; редуценти; ru:редуцент; редуценты; isv:neposrědno svijanje s reducentami; reducent; reducentami abo razkladnymi formami; reducenty; isv_cyr:редуцент; редуценты,{},{},{},,,neposrědno svijanje s reducentami; reducent; reducentami abo razkladnymi formami; reducenty,,,,,,,
representation module,noether_corpus,,Darstellungsmoduln,representation module,модулі зображення,модули представлений,moduly predstavjenja,модулы представјеньа,,,,,,,,,,,,,,,,,,,,,,,representation module,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Darstellungsmoduln; uk:модулі зображення; ru:модули представлений; isv:moduly predstavjenja; isv_cyr:модулы представјеньа,{},{},{},,,,,,,,,,
ring without radical,noether_corpus,,Ring ohne Radikal,ring without radical,кільце без радикала,кольцо без радикала,kolco bez radikala,колцо без радикала,,,,,,,,,,,,,,,,,,,,,,,ring without radical,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Ring ohne Radikal; uk:кільце без радикала; ru:кольцо без радикала; isv:kolco bez radikala; isv_cyr:колцо без радикала,{},{},{},,,,,,,,,,
splitting form,noether_corpus,,zerfallen / zerfallende Form; zerfallen / zerfallende Formen; zerfallende Form; zerfallende Formen; zerfällt / zerfallende Form,splitting form,,,,,,,,,,,,,,,,,,,,,,,,,,,splitting form,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,"de:zerfallen / zerfallende Form; zerfallen / zerfallende Formen; zerfallende Form; zerfallende Formen; zerfällt / zerfallende Form; uk:розкладатися / розкладна форма; розкладаються / розкладні форми; розкладається / розкладна форма; форми, що розкладаються; ru:разлагается / разложимая форма; разлагаться / разложимая форма; разлагаются / разложимые формы; разлагающиеся формы; isv:razklada se / razkladna forma; razkladajut se / razkladne formy; razkladati se / razkladna forma; razkladna forma; isv_cyr:разклада се / разкладна форма; разкладати се / разкладна форма; разкладајут се / разкладне формы; разложиме формы",{},{},{},,,razklada se / razkladna forma; razkladajut se / razkladne formy; razkladati se / razkladna forma; razkladna forma,разклада се / разкладна форма; разкладати се / разкладна форма; разкладајут се / разкладне формы; разложиме формы,"розкладатися / розкладна форма; розкладаються / розкладні форми; розкладається / розкладна форма; форми, що розкладаються",разлагается / разложимая форма; разлагаться / разложимая форма; разлагаются / разложимые формы; разлагающиеся формы,,,,
substitution,noether_corpus,,substitution; substitutionen,substitution,,,,,,,,,,,,,,,,,,,,,,,,,,,substitution,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:substitution; substitutionen,{},{},{},,,,,,,,,,
system of forms,noether_corpus,,Formensystem,system of forms,,,sistem form,,,,,,,,,,,,,,,,,,,,,,,,system of forms,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Formensystem; isv:sistem form,{},{},{},,,,,,,,,,
transformation quantities,noether_corpus,,Transformationsgrößen,transformation quantities,трансформаційні величини,трансформационные величины,transformacijne veličiny,,,,,,,,,,,,,,,,,,,,,,,,transformation quantities,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Transformationsgrößen; uk:трансформаційні величини; ru:трансформационные величины; isv:transformacijne veličiny,{},{},{},,,,,,,,,,
two sided module,noether_corpus,,Doppelmodul,two sided module,,,,двомодул,,,,,,,,,,,,,,,,,,,,,,,two sided module,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Doppelmodul; uk:бімодуль; подвійний модуль / бімодуль; ru:бимодуль; двойной модуль / бимодуль; isv:dvojny modul odnosno bimodul; dvomodul; isv_cyr:двомодул,{},{},{},,,dvojny modul odnosno bimodul; dvomodul,,бімодуль; подвійний модуль / бімодуль,бимодуль; двойной модуль / бимодуль,,,,
adjunction,curriculum_algebra,,Adjunktion der u_{\mu\nu}; als Moduln adjungiert; eventuelle Adjunktion von Unbestimmten,adjunction,можливе приєднання невизначених,,,,,,,,,,,,,,,,,,,,,,,,,,adjunction,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Adjunktion der u_{\mu\nu}; als Moduln adjungiert; eventuelle Adjunktion von Unbestimmten; uk:можливе приєднання невизначених; приєднання u_{\mu\nu}; приєднуються як модулі; ru:возможное присоединение неопределенных; присоединение u_{\mu\nu}; присоединяются как модули; isv:adjungujut se kako moduly; možno prisojedinjenje neopreděljenyh; prisojedinjenje u_{\mu\nu}; isv_cyr:адјунгујут се како модулы; можно присојединјенье неопределєных; присојединјенье u_{\mu\nu},{},{},{},,,adjungujut se kako moduly; možno prisojedinjenje neopreděljenyh; prisojedinjenje u_{\mu\nu},адјунгујут се како модулы; можно присојединјенье неопределєных; присојединјенье u_{\mu\nu},можливе приєднання невизначених; приєднання u_{\mu\nu}; приєднуються як модулі,возможное присоединение неопределенных; присоединение u_{\mu\nu}; присоединяются как модули,,,,
algebra (structure),,,,algebra (structure),,,algebra,,cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],cognate of ISV form [S],,,,,,,,,,,,,confirm_current,stable,-999,,algebra (structure),1.35,"{""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",0,D_background,,support,support,"{""cognate of ISV form"": 1206}","{""bg"": [""cognate of ISV form""], ""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""], ""sr"": [""cognate of ISV form""]}",,ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_left_ideals_idempotents.txt; ws:polish_mimuw_noncommutative_body.txt,,{},"{""dependence_pd"": ""algebra"", ""equal_branch"": ""algebra"", ""equal_splits"": ""algebra"", ""population_proxy"": ""algebra""}","{""dependence_pd"": 1.0, ""equal_branch"": 1.0, ""equal_splits"": 1.0, ""population_proxy"": 1.0}",,Confirm 'algebra' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
algebra over a field,algebra_general,,,algebra over a field,,,,,,,,,,,,,,,,,,,الجبر على حقل,جبر روی میدان,,0,,,,2,algebra over a field,1.33,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.75}",0,D_background,,no_hit,no_hit,{},{},,,,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""attested_needs_review""}",{},{},,,,,,,,,,
ansatz,proof_grammar,,Ansatz; nach dem Ansatz,ansatz,схема,схема,,схема,,,,,,,,,,,,,,,,,,,,,,,ansatz,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",0,D_background,,no_hit,no_hit,{},{},,,de:Ansatz; nach dem Ansatz; uk:схема; ru:схема; isv:po slědujućej shemě; po slědujućej začetnoj shemě; po začętnoj shemě; shema; isv_cyr:схема,{},{},{},,,po slědujućej shemě; po slědujućej začetnoj shemě; po začętnoj shemě; shema,,,,,,,
artinian,algebra_invariant_theory,,,artinian,,,,,,,,,,,artiniano,artinien,artin,,artin,artin,,,,,Artinian/Artin,0,,,,2,artinian,0.68,"{""cross_lane_spine"": 0.08, ""lane_malay_indonesian"": 0.1, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,malay_indonesian:Walisongo Artin rows; pan_romance:es:cum_es.tex:13248; pan_romance:fr:french/0711.3658v2/rat1e.tex:279,,"{""malay_indonesian"": ""indonesian_strong_malay_gap"", ""pan_romance"": ""no_promoted_register_source_hit""}",{},{},,,,,,,,,,
artinian module,rings_modules,,,artinian module,,,,,,,,,,,,,,,,,,,,,,0,,,,1,artinian module,0.24,"{""cross_lane_spine"": 0.04, ""lane_controlled_arabic"": 0.2}",0,D_background,,no_hit,no_hit,{},{},,,,"{""controlled_arabic"": ""open_no_direct_evidence""}",{},{},,,,,,,,,,
associated prime,algebra_invariant_theory,,,associated prime,,,,,,,,,,,primo asociado,ideaux premiers associes,primo associado,,primer associat,primo associato,,,,,,0,,,,1,associated prime,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",0,D_background,,no_hit,no_hit,{},{},,pan_romance:es:cum_es.tex:10166; pan_romance:fr:sources/non_slavic_existing_translation_artifacts/zenodo_20836874_20260628/extracted/14_Noether_-_French_and_Simplified_Chinese_Checkpoint_P19s06_20260612/tex/N24_intro_s01_fr_body.tex:125,,"{""pan_romance"": ""no_promoted_register_source_hit""}",{},{},,,,,,,,,,
