source_term,target_term,sense,status,source_evidence,source_excerpt,german_source_evidence,decision_note
Basispolynom,polinomio generador,generator polynomial of a principal ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_intro_s2.tex:118; sha256=14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389,"Puesto que se había supuesto que $\mathfrak h$ estaba en el centro de $\mathfrak O$, $\mathfrak O$ es con seguridad conmutativo si posee un sistema de generadores $S$ que consta de un único elemento $z$. Si $\mathfrak M$ es además un ideal ","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10974; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\mathfrak M_2]$ teilbar, und weil die Ordnung des Basispolynoms von $[\mathfrak M_1,",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Quotientenring,anillo de cocientes,localization or quotient ring of fractions in the P43 context,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:13464; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"En lo que sigue se da una caracterización abstracta de todos aquellos anillos cuya teoría de ideales coincide con la teoría de ideales de todos los enteros de un cuerpo algebraico de números: es decir, aquellos anillos cuyos ideales pueden ","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14333; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=einem gewissen Quotientenring, dem Funktionalbereich, macht.",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Restklassenring,anillo de clases residuales,factor/residue-class ring; kept distinct from localization,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:12770; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"En H.-N. la cuestión de los \emph{ceros} se aborda, como de costumbre, directamente para el ideal dado, a saber, remontándose a la eliminación sucesiva, con lo cual no se evita por completo el carácter de verificación. Frente a ello está el",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14379; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Restklassenring nach jedem vom Nullideal verschiedenen Ideal ein Primideal keinen,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Primfunktion mod p,polinomio irreducible módulo p,irreducible polynomial modulo p,source-supported,github_alexey-beshenov_cimat-tna:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_cimat-tna\2-ideales.tex:2409; sha256=136E2ECBE520D381E8FBB362EEB3012CEC54A730FC3BB312B209A99BF147A405,y $f \in \ZZ [x]$ un polinomio irreducible módulo $p$.,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14093; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Für absolute Primfunktionen $P$ mit Koeffizienten aus einem (endlichen) algebraischen Zahlkörper $\mathfrak K$ gilt nun der Satz,\footnote{A. Ostrowski: a. a. O. (Anm. 21)); Hilfss",Native Spanish register witness; R823 context controls the mathematical sense.
Erweiterung eines Ideals,extensión de un ideal,extension of an ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_s6_s7.tex:51; sha256=B955DC033DEF3C5F4D0F20F514997D9A7702B8A2992B47AE7285B49F86BD61A4,"\emph{El ideal y el cociente de diferencias respecto de orden y cuerpo están relacionados como sigue: $\mathfrak B_K$ es la extensión del ideal de diferencias $\mathfrak B$ de $\mathfrak O_{\mathfrak o}$ y, análogamente, $\mathfrak A_K$ es ",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:5909; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Aus dem eben Bewiesenen lassen sich Folgerungen für rationale Darstellung ziehen. Jede rationale absolute Invariante läßt sich --- wie durch Erweiterung von Zähler und Nenner mit d,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Verengung eines Ideals,contracción de un ideal,contraction of an ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:15591; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Todo ideal unilateral $\ma$ de $\mo$ tiene un ``ideal contraído'' $\ma\cap\mZ$ en $\mZ$. Como tanto $\ma$ como $\mZ$ son $\mZ$-módulos, también lo es $\ma\cap\mZ$.","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:15664; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Ist $\overline{\mathfrak b}$ Ideal in $\overline{\mathfrak R}$, so wird der Durchschnitt $[\overline{\mathfrak b},\mathfrak R]$ ein Ideal $\mathfrak b$ in $\mathfrak R$, das Vereng",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Darstellungsmodul,módulo de representación,representation module,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:14936; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La conexión con el problema de representación viene dada por el hecho de que, entre los grupos con operadores, se encuentran en particular ideales y módulos: se los considera como grupos abelianos respecto de la adición, mientras que los op","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:16261; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Zusammenhang mit dem Darstellungsproblem ist dadurch gegeben, dass zu den Gruppen mit Operatoren insbesondere Ideale und Moduln gehören, diese aufgefasst als Abelsche Gruppen g",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
reziproke Darstellung,representación recíproca,historical opposite-order representation,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:17624; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La teoría de representaciones que sirve de base --- precedida por una breve teoría de automorfismos (§ 1) --- significa un desarrollo ulterior de la teoría fundada en módulos de representación.\footnote{E. Noether, \emph{Hyperkomplexe Größe",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:19138; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die zugrunde liegende Darstellungstheorie --- der eine kurze Automorphismen\-theorie vorausgeht (§ 1) --- bedeutet eine Fortentwicklung der auf der Theorie der Darstellungsmoduln b,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
hyperkomplexes System,sistema hipercomplejo,historical finite-dimensional algebraic system,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:14778; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Reunamos primero brevemente los conceptos fundamentales. Sea $\mS$ un sistema hipercomplejo respecto de un cuerpo $P_0$. Por una representación $\Gamma$ de $\mS$ ---en $P$--- se entiende un sistema de matrices con elementos de $P$, de tal m","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10100; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Wir entwickeln daher allgemein eine Theorie der Moduln, deren Elemente Polynome mit nichtkommutativer Multiplikation sind, \emph{und zwar führen wir dabei die Betrachtung der Modul",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
nichtkommutativer Körper,cuerpo no conmutativo,historical division-ring wording,source-supported,github_jltabara_Apuntes-Teoria-Galois:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_jltabara_Apuntes-Teoria-Galois\TeoriaGalois.tex:193; sha256=71FFF4C14297F4BAF59FB06743BFACE3B3A609A8C9F15965E48489AA9857472D,"Existe una generalizaci�n de uno de los ejemplos anteriores, aunque su demostraci�n no es tan elemental. El teorema de Wedderbun afirma que todo anillo finito e �ntegro es necesariamente conmutativo. Todo cuerpo no conmutativo es necesariam","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:16135; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Daß jedes solche idempotente Element eine Zerfällung erzeugt, und daß die Existenz eines solchen idempotenten Elementes für die Zerfällung notwendig ist, ergibt sich aus den folgen",Native Spanish register witness; R823 context controls the mathematical sense.
galoisscher Erweiterungsring,anillo de extensión galoisiano,Noether Galois extension ring,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_intro_s2.tex:30; sha256=14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389,"Esta definición invariante se coloca a continuación en primer plano y, de este modo, se define directamente la diferente de un anillo conmutativo arbitrario respecto de un subanillo, siempre que se cumplan únicamente ciertas condiciones rel",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:20584; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\subsection*{\S{} 5. Galoisscher Erweiterungsring eines Körpers. Struktursätze.},Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Hauptgeschlecht,género principal,principal genus,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:17503; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La teoría de los sistemas hipercomplejos, es decir, de las álgebras, ha experimentado en los últimos años un fuerte desarrollo; pero sólo muy recientemente se ha aclarado la importancia de esta teoría para cuestiones conmutativas. Quiero in","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:19038; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Theorie der hyperkomplexen Systeme, der Algebren, hat in den letzten Jahren einen starken Aufschwung genommen; aber erst in allerneuester Zeit ist die Bedeutung dieser Theorie ",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
definierendes Ideal,ideal definidor,defining ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_intro_s2.tex:16; sha256=14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389,Mostraré en lo que sigue que aquí se trata de algo más que de una analogía formal. \emph{La diferente puede concebirse como el cociente diferencial de un ideal definidor del cuerpo de números $K$ en un anillo de polinomios enteros asociado ,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:20172; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Ich zeige im folgenden, daß es sich hier um mehr als eine formale Analogie handelt. \emph{Die Differente läßt sich auffassen als Differentialquotient eines definierenden Ideals des",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Fundamentalgleichung,ecuación fundamental,fundamental or defining equation,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:12997; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La demostración del Teorema IV consistirá en probar que la forma de divisores elementales $P^{(i)}$ es idéntica a la ecuación fundamental del cuerpo de extensión $(P(u,x_{i+1},\ldots,x_n),(x_i))$ sobre $(P(u,x_{i+1},\ldots,x_n))$. Primero, ","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:13864; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Der Beweis von Satz IV wird auf den Nachweis hinauskommen, daß die Elementarteilerform $P^{(i)}$ mit der Fundamentalgleichung des Erweiterungskörpers $(P(u,x_i,x_{i+1},\ldots,x_n))",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Spur,traza,field or algebra trace,source-supported,2307.03598v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2307.03598v1\Paper_D-modulos_CNMXXII.tex:434; sha256=7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,\item El subespacio de $\mf{gl}_n(\mb{C})$ cuyas matrices tienen traza cero con el mismo corchete de $\mf{gl}_n(\mb{C})$ es un �lgebra de Lie la cual se denota por $\mf{sl}_n(\mb{C})$ y es llamada \emph{�lgebra lineal especial}. En el caso ,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9129; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Ein algebraischer Zahlkörper ist definiert als ein Körper \(n\)-ten Grades über dem Körper \(R\) der rationalen Zahlen; ein Körper algebraischer Funktionen einer Veränderlichen als,Native Spanish register witness; R823 context controls the mathematical sense.
Norm,norma,field norm,source-supported,2206.09700v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2206.09700v1\Grupos_ortogonales.tex:277; sha256=FD93063C54C5C3581359C768273EA31904538E5A973AEDAC674580D0E85A4518,Usando el determinante y la norma del espinor,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:176; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\providecommand{\Norm}{N},Native Spanish register witness; R823 context controls the mathematical sense.
Verzweigung,ramificación,ramification,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:678; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"$ de divisores no cero de R forma un submonoide \textit{integral} del monoide multiplicativo R. Por ejemplo, $\bb{Z}^{\prime}$ es \textit{integral}, y $\overline{\bb{Z}}^{\prime} = \bb{Z}^{\prime}/(\pm)$ es un monoide libre, generado por lo","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9124; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die \emph{algebraisch-geometrische Theorie} von Brill--Noether setzt nur den Begriff \glqq{}aufeinanderfolgender Punkte\grqq{} eines Zweiges voraus, der auf die Reihenentwicklung i",Native Spanish register witness; R823 context controls the mathematical sense.
Zerfällungskörper,cuerpo de descomposición,splitting field,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\AlgebraConmutativa_Ejs.tex:102; sha256=2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968,\ppart Demuestra que $\K$ es un cuerpo de descomposición para el polinomio $x^{p^n}-x$.,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:16069; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\section*{32. Gemeinsam mit R. Brauer: Über minimale Zerfällungskörper irreduzibler Darstellungen},Native Spanish register witness; R823 context controls the mathematical sense.
Gruppenring,anillo de grupo,group ring,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:13358; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La teoría frobeniana de los caracteres de grupos --esto es, de la representación de grupos finitos-- se concibe como teoría de ideales de un anillo completamente reducible, el anillo de grupo. Por ello se desarrollan en general los teoremas","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14209; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Frobeniussche Theorie der Gruppencharaktere -- also der Darstellung endlicher Gruppen -- wird aufgefaßt als Idealtheorie eines vollständig reduzibeln Ringes, des Gruppenringes.",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Idealquotient,cociente de ideales,ideal quotient,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:8264; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Debe observarse que dos grupos de puntos corresiduales no necesitan consistir en el mismo número de puntos, del mismo modo que ideales equivalentes no necesitan tener el mismo grado. Así, por ejemplo, todos los ideales principales son equiv","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14367; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Idealquotienten vereinfachen läßt, und weil ich ein Versehen berichtigen will:",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Hauptideal,ideal principal,principal ideal,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\1_AnillosI.tex:534; sha256=48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21,"Sea $R$ un anillo, el ideal principal generado por un elemento $a \in R$ es el conjunto:","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9135; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Jeder Modul, der eine Basis aus endlich vielen Elementen besitzt, durch die sich jedes Element linear mit Koeffizienten aus \(\frS\) darstellen läßt, wird als ein \emph{endlicher} ",Native Spanish register witness; R823 context controls the mathematical sense.
ganzer Abschluß,clausura integral,integral closure,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:14744; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"es un elemento no nulo de $\Omega$, de hecho el cuadrado del determinante de los elementos conjugados de la base. De la clausura integral de $\mo$ en $\Omega$ se sigue que este determinante es un elemento de $\mo$ tan pronto como todos los ",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; concept search=ganzer Abschluß,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
algebraischer Funktionenkörper,cuerpo de funciones algebraicas,algebraic function field,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:8124; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Un cuerpo de números algebraicos se define como un cuerpo de grado \(n\) sobre el cuerpo \(R\) de los números racionales; un cuerpo de funciones algebraicas de una variable, como un cuerpo de grado \(n\) sobre el cuerpo \(K(z)\) de todas la",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14330; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Beispiele noch der Ring aller ganzen Größen eines algebraischen Funktionenkörpers,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Koeffizientenkörper,cuerpo de coeficientes,coefficient field,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:4317; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"2. Toda base racional debe contener, para cuerpos de la primera especie, al menos $n$ funciones; si contiene exactamente $n$ funciones, que entonces han de ser algebraicamente independientes, la llamaré ``base mínima''. La cuestión de la ex","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14257; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Bedingung ist hinreichend unter der Voraussetzung, daß der Wurzelkörper $P^{1/p}$ endliche Erweiterung des Koeffizientenkörpers\footnote{Siehe S. 28, Fußnote 2.} ist, sobald di",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
