stable_id,volume,authority_sha256,pdf_physical_page,printed_page,french_source_file,french_source_line,french_source_text,english_source_file,english_source_sha256,english_source_line,english_current_text,source_backed_disposition,status
EG-EGA-I-P61-716-SPURIOUS-AND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,60,61,source/ega1/ega0-1-fr.tex,4517-4519,"Lorsque T/J, nilradical de A/J, est nilpotent, on note A_red l'anneau quotient (réduit) A/T",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,107-109,"When T/J, the nilradical of A/J, is nilpotent, and we denote by A_red the quotient ring A/T","Remove the spurious conjunction after the subordinate clause",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P62-7114-MISSING-SURJECTIVE-PREDICATE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,61,62,source/ega1/ega0-1-fr.tex,4583-4585,"pour que u soit surjectif, il faut et il suffit que u tensor 1 ... le soit",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,170-172,"for u to be surjective, it is necessary and sufficient that u tensor 1 ... is","English ends after 'is' and omits the predicate that the induced map is surjective",CONFIRMED_ENGLISH_MATHEMATICAL_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P62-7110-7113-DUPLICATE-REFERENCE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,61,62,source/ega1/ega0-1-fr.tex,4588-4591,"l'équivalence de (7.1.10) et (7.1.13) [résulte] de loc. cit., th. 2",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,176-180,"the equivalence of (7.1.10) and (7.1.10) and (7.1.13)","Remove the duplicated first reference; the source relates (7.1.10) and (7.1.13)",CONFIRMED_ENGLISH_REFERENCE_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P62-63-721-COMPACT-VS-COMPLETE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,61-62,62-63,source/ega1/ega0-1-fr.tex,4608-4622,"Toute limite projective d'anneaux discrets est ... séparé et complet",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,200-211,"Each projective limit of discrete rings is ... separated and compact","Replace 'compact' by 'complete'; the source asserts completeness and the rest of the paragraph uses the complete case",CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P63-722-LIMIT-VS-SYSTEM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,62,63,source/ega1/ega0-1-fr.tex,4627-4634,"(A_lambda,u_lambda_mu) est un système projectif d'anneaux discrets",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,216-220,"(A_lambda,mu_lambda_mu) is a projective limit of discrete rings","Use 'projective system'; the indexed rings and transition maps form the system whose limit is A",CONFIRMED_ENGLISH_MATHEMATICAL_TERMINOLOGY_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P63-722-MISSING-INDEX-SET-NOUN-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,62,63,source/ega1/ega0-1-fr.tex,4629-4632,"ayant pour ensemble d'indices un ensemble ordonné filtrant L",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,218-220,"having for the set of indices a filtered ordered (by <=) L","Restore the missing noun: L is a filtered ordered set (for <=) serving as the index set",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P63-722-SUJECTIVE-VS-SURJECTIVE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,62,63,source/ega1/ega0-1-fr.tex,4632-4634,"les u_lambda:A->A_lambda sont surjectifs",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,220-223,"the u_lambda:A->A_lambda are sujective","Correct the misspelling to 'surjective'",CONFIRMED_ENGLISH_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P63-722-IDEALS-OF-DEFINITION-PLURAL-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,62,63,source/ega1/ega0-1-fr.tex,4639-4642,"formé d'idéaux de définition contenus dans l'un d'eux",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,227-232,"consisting of ideals of definitions contained in an ideal of definition","Use the fixed term 'ideals of definition' and retain that they are contained in one of them J_0",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P63-723-UNION-VS-INTERSECTION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,62,63,source/ega1/ega0-1-fr.tex,4652-4654,"l'hypothèse que A est admissible entraîne que intersection_n J^n=0",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,243-245,"the hypothesis that A is admissible implies that union_n J^n=0","Replace union by intersection; the separated J-preadic topology requires the intersection of the powers to be zero",CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P64-725-BICONTINOUS-SPELLING-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,63,64,source/ega1/ega0-1-fr.tex,4693,"L'homomorphisme v est bicontinu",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,283,"the homomorphism v is bicontinous","Correct the misspelling to 'bicontinuous'",CONFIRMED_ENGLISH_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P64-726-DUPLICATE-A-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,63,64,source/ega1/ega0-1-fr.tex,4700,"Soient A un anneau admissible, J un idéal de définition de A",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,290,"Let A be an admissible ring A, J an ideal of definition for A","Delete the duplicated second A after 'ring'",CONFIRMED_ENGLISH_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P64-726-MISSING-NOETHERIAN-PREDICATE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,63,64,source/ega1/ega0-1-fr.tex,4707-4710,"pour qu'il soit noethérien, il faut et il suffit que l'anneau gradué associé grad(A) ... le soit",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,294-298,"for it to be Noetherian, it is necessary and sufficient that the associated graded ring grad(A) ... is ([I], p.18-07, th.4)","Restore the predicate: the associated graded ring must be Noetherian",CONFIRMED_ENGLISH_MATHEMATICAL_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P64-726-A-VS-AN-MODULE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,63,64,source/ega1/ega0-1-fr.tex,4711-4713,"des générateurs de J/J^2 en tant que A/J-module",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,299-300,"the generators of J/J^2 as a A/J-module","Use the grammatically correct article 'an A/J-module'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P64-727-MONOMIALS-IN-VS-AND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,63,64,source/ega1/ega0-1-fr.tex,4762-4764,"l'ensemble S_n des monômes de degré total n en les a_j engendre l'idéal J^(n) de A",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,350-352,"the set S_n of monomials of total degree n and the a_j generate the ideal J^(n) of A","Replace 'and the a_j' by 'in the a_j'",CONFIRMED_ENGLISH_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P65-727-DUPLICATE-TO-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,64,65,source/ega1/ega0-1-fr.tex,4779-4781,"J_m est ... engendré par les monômes de degré <=m par rapport aux a_jm",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,364-366,"J_m is generated ... by the monomials of degree <=m with respect to to a_jm","Delete the duplicated second 'to'",CONFIRMED_ENGLISH_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P65-729-M0-VS-M1-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,64,65,source/ega1/ega0-1-fr.tex,4817-4819,"les classes des z_h mod. M^(0) engendrent le module gradué grad(M)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,402-404,"the classes of the z_h modulo M^(0) generate the graded module grad(M)","Since M^(0)=M by the printed definition, these classes would all vanish; the degree-zero classes required to generate grad(M) are modulo M^(1). Canonical French retains printed M^(0); English should use M^(1) with an immediate source-typo note",CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P65-729-MISSING-M-IN-CANONICAL-MAP-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,64,65,source/ega1/ega0-1-fr.tex,4827-4829,"l'application canonique de J^(n)M dans M^(n) est surjective",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,410-412,"the canonical map from J^(n) to M^(n) is surjective","Restore the omitted module factor M: the source and the following equality both say J^(n)M",CONFIRMED_ENGLISH_MATHEMATICAL_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P65-729-MN-VS-MNMINUS1-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,64,65,source/ega1/ega0-1-fr.tex,4829-4830,"J^(n)M=J^nM est le noyau de M->M_n",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,411-412,"J^(n)M=J^nM is the kernel of [erratum II] M->M_(n-1)","The English correction to M_(n-1) is source-justified: by definition M^(n) consists of sequences vanishing for k<n and is the kernel of M->M_(n-1), whereas the kernel of M->M_n is M^(n+1). Canonical French retains printed M_n",CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P65-7210-CONTINUITY-AGREEMENT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,64,65,source/ega1/ega0-1-fr.tex,4833-4838,"les homomorphismes de A-modules h:M->N (qui sont nécessairement continus pour les topologies J-adiques)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,417-421,"the homomorphisms of A-modules h:M->N (which is necessarily continuous for the J-adic topologies)","Make the relative clause agree with the plural antecedent: 'which are necessarily continuous' or 'each necessarily continuous'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P66-731-M-LIMIT-U-VS-N-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,65,66,source/ega1/ega0-1-fr.tex,4891-4895,"Ahat=lim_n A/J^n (resp. Mhat=lim_u M/J^nM)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,469-472,"Ahat=lim_n A/J^n (resp. Mhat=lim_n M/J^nM)","The direct 5000-dpi authority image unambiguously prints u beneath the second inverse limit although the quotient system is indexed by n; English correction to n is source-justified and canonical French retains printed u",CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P66-731-THOSE-OF-Z-OMISSION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,65,66,source/ega1/ega0-1-fr.tex,4912-4915,"les k premières composantes de uhat(z') coïncident avec celles de z",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,483-485,"the first k components of uhat(z') coincide with the z","Restore the omitted comparative phrase: 'coincide with those of z'",CONFIRMED_ENGLISH_TRANSLATION_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P66-731-NOETHERIAN-COMMA-SPLICE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,65,66,source/ega1/ega0-1-fr.tex,4918-4920,"Si on suppose A noethérien, il en est de même de Ahat, en vertu de (7.2.12), J/J^2 étant alors un A-module de type fini",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,488-490,"If we suppose that A is Noetherian, then so is Ahat, according to 7.2.12, J/J^2 is then an A-module of finite type","Repair the English comma splice, for example with 'and J/J^2 is then an A-module of finite type'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
